"district","date","cases","deaths"
"Matiari","2021-08-31","14","0"
"Mirpurkhas","2021-08-31","20","0"
"Nowshero Feroze","2021-08-31","4","0"
"Sanghar","2021-08-31","44","0"
"Shaheed Banazir Abad","2021-08-31","49","0"
"Shikarpur","2021-08-31","0","0"
"Karachi South","2021-08-31","52","5"
"Sujawal","2021-08-31","33","1"
"Sukkur","2021-08-31","1","0"
"Tando Allahyar","2021-08-31","20","0"
"Tando Muhammad Khan","2021-08-31","25","0"
"Tharparkar","2021-08-31","19","0"
"Thatta","2021-08-31","2","0"
"Umerkot","2021-08-31","14","0"
"Karachi West","2021-08-31","16","1"
"Badin","2021-09-01","46","0"
"Karachi Central","2021-09-01","93","6"
"Dadu","2021-09-01","3","1"
"Karachi East","2021-09-01","267","5"
"Ghotki","2021-09-01","2","0"
"Hyderabad","2021-09-01","181","0"
"Jacobabad","2021-09-01","0","0"
"Jamshoro","2021-09-01","29","0"
"Shahdadkot","2021-09-01","0","0"
"Korangi","2021-09-01","11","1"
"Kashmore","2021-09-01","3","0"
"Khairpur","2021-09-01","29","0"
"Larkana","2021-09-01","4","0"
"Karachi Malir","2021-09-01","71","0"
"Matiari","2021-09-01","25","0"
"Mirpurkhas","2021-09-01","23","0"
"Nowshero Feroze","2021-09-01","0","0"
"Sanghar","2021-09-01","45","0"
"Shaheed Banazir Abad","2021-09-01","4","0"
"Shikarpur","2021-09-01","0","0"
"Karachi South","2021-09-01","171","0"
"Sujawal","2021-09-01","12","0"
"Sukkur","2021-09-01","8","0"
"Tando Allahyar","2021-09-01","0","0"
"Tando Muhammad Khan","2021-09-01","28","0"
"Tharparkar","2021-09-01","37","0"
"Thatta","2021-09-01","33","0"
"Umerkot","2021-09-01","29","0"
"Karachi West","2021-09-01","30","0"
